ANA_NCMP
AO_LOCK
AO_NMODE
ATMOS_R0
AUTHOR,Who designed the observation
BLANK,Value of missing pixels (integer HDU)
BNAME
BNDCTR
BTYPE,Unified Content Descriptors v1.23,all,required
BUNIT,Physical units of calibrated data,all,required
BZERO
CADAVG
CADENCE
CADMAX
CADMIN
CADVAR
CAMERA,Name of camera
CAMPAIGN,Coordinated campaign name(s)
CAR_ROT
CCURRENT,Concurrent overlapping observations
CHECKSUM,HDU checksum
CMPDESn
CMPINCn
CMPMULn
CMPNAMn
CMPSTRn
CMPTYPn
CMP_NPn
CNAMEia
COMMENT
COMPQUAL
COMP_ALG
CONSTEXT
CONTINUE
CPDISia
CPERRia
CQDISia
CQERRia
CRDERia
CREATOR
CROTAia
CRPIXja
CRVALia
CSYERia
CTYPEia
CUNITia
CWDISia
CWERRia
DATAEXT
DATAKURT,data statistic - the kurtosis of the data
DATAMAD
DATAMAX,data statistic - the maximum data value
DATAMEAN,data statistic - the average data value
DATAMEDN,data statistic - the median data value
DATAMIN,data statistic - the minimum data value
DATANMAD,data statistic - the nn percentile (where nn is between 0 and 100)
DATANPnn,data statistic - normalized percentiles (DATAPnn/DATAMEAN)
DATANRMS,data statistic - the RMS deviation from the mean sqrt( sum( (x-avg(x))^2 )/N )
DATAPnn,
DATARMS,
DATASKEW,data statistic - the skewness of the data
DATASUM,Data checksum
DATATAGS,Additional information
DATE,Date of FITS file creation
DATE-AVG,Average date of observation,all,optional
DATE-BEG,Date of start of observation,all,required
DATE-END,Date of end of observation,all,optional
DATEREF,Time coordinate zero point
DETECTOR
DPja
DQia
DSUN_AU
DSUN_OBS,[m] Distance from instrument to Sun centre,space,required
DWia
ELEV_ANG
EXTNAME,Name of HDU
FILENAME
FILEVERP
FILTER,Name of filter(s)
FT_LOCK
GEOX_OBS,[m] Observer's non-fixed geographic X coordinate,space,required
GEOY_OBS,[m] Observer's non-fixed geographic Y coordinate,space,required
GEOZ_OBS,[m] Observer's non-fixed geographic Y coordinate,space,required
GRATING,Name of grating/grism used
HASH_SW
HGLN_OBS,Observer's Stonyhurst heliographic longitude,space,required
HGLT_OBS,Observer's Stonyhurst heliographic longitude,space,required
INCLEXT
INFO_URL
INSTRUME,Name of instrument
LEVEL
METADIM
METADIMn
METAFILS
MISSION
MOSAICID
NAPRXPIX
NAXIS
NAXISj
NBIN,Product of all NBINj
NBINj,Binning in dimension n
NDATAPIX
NLOSTPIX
NMASKPIX
NSATPIX
NSPIKPIX
NSUMEXP,Number of summed exposures
NTOTPIX
NXDIM
OBSERVER,Who acquired the data
OBSGEO-X,[m] Observer's fixed geographic X coordinate,ground,required
OBSGEO-Y,[m] Observer's fixed geographic Y coordinate,ground,required
OBSGEO-Z,[m] Observer's fixed geographic Z coordinate,ground,required
OBSRVTRY
OBSTITLE
OBS_DESC
OBS_HDU
OBS_LOG
OBS_MODE,Name of predefined settings used during obs.
OBS_VR,[km/s] Observer's outward velocity w.r.t. Sun
ORIGIN
PCONSna
PCT_APRX
PCT_DATA
PCT_LOST
PCT_MASK
PCT_SATP
PCT_SPIK
PCi_ja
PDESCna
PGEXTNAM
PGFILENA
PINITna
PIXLISTS
PIXTYPE
PLANNER,Observation planner
PMAXna
PMINna
PNAMEna
POINT_ID,Unique (re-)pointing ID
POLCANGL,[deg] Counter-clockwise rotation around +HPRZ axis
POLCCONV,Reference system for Stokes vectors
PRBRAna
PRENVn
PRHSHna
PRLIBna
PRLOGn
PRMODEn
PROJECT
PRPARAn
PRPROCn
PRPVERn
PRSTEPn
PRVERna
PTRAna
PTRBna
PUNITna
RELEASE
RELEASEC
REQUESTR,Who requested this particular observation
RESEXT
RESIDEXT
RESOLVPW
RESPAPPL
RESPONSE
ROT_COMP
ROT_FORM
ROT_MODL
RSUN_ARC
RSUN_REF
SETTINGS,Additional instrument/acquisition settings
SLIT_WID,[arcsec] Slit width
SOLARNET
SOLAR_B0
SOLAR_EP
SOLAR_P0
SOLNETEX,Exception: kws with conflicting definitions
SPECSYS,Coordinate reference frame = observer
SVO_GRP
TCTYPn
TDESCn
TDIMn
TELCONFG
TELESCOP,Name of telescope,all,required
TEXPOSUR,[s] Single-exposure time
TFORMn
TIMESYS,Time scale of the time-related keywords
TKEYSn
TPCn_na
TPXLSn
TTYPEn
TVARKn
TZEROn
VAR_KEYS
VELOSYS,[m s-1] No velocity correction applied to WAVE coord.
VERSION
VERS_CAL
VERS_SW
WAVEBAND,a human-readable description of the waveband such as the (expected) strongest emission/absorption line or the most dominant/contributing line in filter images
WAVECOV
WAVELNTH,For filter images may be set to the characteristic wavelength at which the observation was taken
WAVEMAX,[Angstrom] Max wavelength covered by filter
WAVEMIN,[Angstrom] Min wavelength covered by filter
WAVEREF,Wavelength related kwds in vacuum (air or vac)
WAVEUNIT,Wavelength related kwds have unit: 10^(WAVEUNIT) m
WCSAXES
WCSNAMEa
WCSNn
WGTEXT
XDIMTYm
XDIMXTm
XPOSURE
iCRVLn
iCTYPn
jCRPXn
